Course Description,Num Students,Avp GPA,Session Description, Descriptor of what it means
SEMINAR IN ARTS ADMINISTRATION,28,3.760785714285714,100,Regular Academic Session
ASIAN AMERICAN LITERATURE,106,3.7747169811320753,0,Eight Week - Second
ASIAN DIASPORA EXPERIENCE,79,3.900341772151899,0,Regular Academic Session
INTRO ANIMAL BEHAVIOR,255,3.197141176470588,18.5,Regular Academic Session
ANIMAL BEHAVIOR WORKSHOP,74,3.650162162162162,82.9,Regular Academic Session
ANIMAL CONSERVATION SCIENCE,28,3.775,78.6,Regular Academic Session
ANIMAL BEHAVIOR LABORATORY,71,3.78312676056338,75,Regular Academic Session
ADV WORKSHOP IN ANIMAL BEHAVR,44,3.581954545454545,94.4,Regular Academic Session
TOPICS IN ANIMAL BEHAVIOR,83,3.718204819277109,54.5,Regular Academic Session
SEM INTEG STDY OF ANM BEH,16,4.0,0,Regular Academic Session
INTRO TO THE AIR FORCE I,37,3.883891891891892,0,Regular Academic Session
AF LLAB I,78,4.0,0,Regular Academic Session
TEAM AND LDRSP FUND USAF I,26,3.846307692307692,0,Regular Academic Session
LEADING AND COMM USAF I,15,3.959866666666666,0,Regular Academic Session
NATL SEC PREP ACTV DUTY I,15,4.0,0,Regular Academic Session
INTRO TO AFRICAN STUDIES,61,3.045704918032787,0,Regular Academic Session
INTERDISCIPLINARY RESRCH MTHDS,6,4.0,0,Regular Academic Session
ELEMENTARY BAMANA I,55,3.883636363636364,0,Regular Academic Session
INTERMEDIATE BAMANA I,32,3.7970000000000006,0,Regular Academic Session
INTERMEDIATE AKAN I,7,3.757,0,Regular Academic Session
TOPICS IN AFRI SOCIETY&CULTURE,166,3.6516626506024097,0,Regular Academic Session
YOUTH MIGRATION/LDRSHIP AFRICA,22,3.945,0,Regular Academic Session
CONTEMPORARY AFRICA,90,3.0008666666666666,0,Regular Academic Session
ELEMENTARY SWAHILI 1,41,3.4197317073170734,0,Regular Academic Session
INTERMEDIATE SWAHILI 1,14,2.786,0,Regular Academic Session
ELEMENTARY YORUBA I,36,3.749833333333333,0,Regular Academic Session
INTERMEDIATE YORUBA I,21,3.909619047619048,0,Regular Academic Session
WHAT IS AMERICA?,873,3.1359988545246282,0,Regular Academic Session
COMPARATIVE AMER IDENTITIES,64,3.6765,0,Regular Academic Session
U.S. MOVEMENTS & INSTITUTIONS,147,2.916244897959184,2.9,Regular Academic Session
U.S. ARTS AND MEDIA,159,3.1063836477987423,2.9,Regular Academic Session
INDIGENOUS WRLDVWS IN AMERICAS,64,3.387125,0,Regular Academic Session
SPECIAL TOPICS IN A&H FOR AMST,65,3.406230769230769,5.7,Regular Academic Session
TOPICS: INTERDISCIPLINARY AMST,84,3.147619047619048,6.7,Eight Week - Second
SEMINAR IN AMERICAN STUDIES,6,4.0,50,Regular Academic Session
HUMAN ANATOMY,485,2.7736164948453608,0,Regular Academic Session
HUMAN TISSUE BIOLOGY,293,3.3671331058020475,0,Regular Academic Session
TOPICAL SEMINAR IN ANATOMY,21,4.0,0,Regular Academic Session
BECOMING HUMAN: EVOLUTION,254,3.6205,0,Regular Academic Session
INTERPERSONAL COMMUNICATION,784,3.276899234693878,0,Regular Academic Session
TOPICS ANTH CULTURE AND SOC,124,3.628290322580645,0,Regular Academic Session
"SEX, DRUGS, AND ROCK-N-ROLL",151,3.5893642384105964,3.9,Regular Academic Session
FOOD AND THE BODY,22,3.8227272727272723,37.5,Regular Academic Session
INTRODUCTION TO MUSEUM STUDIES,48,3.6976666666666667,34.4,Regular Academic Session
INTRO TO COLLEGE TEACHING,15,3.96,100,Regular Academic Session
COMMUNITY BASED RESEARCH I,11,4.0,54.5,Regular Academic Session
GRADUATE READINGS IN ANTH,20,3.96995,88.9,Regular Academic Session
INTRO TO CHIMPANZEE BEHAVIOR,140,2.700871428571429,2.9,Regular Academic Session
BIOANTHROPOLOGY,604,3.2257781456953643,4.9,Regular Academic Session
UNDERGRADUATE SEMINAR,33,3.9910303030303034,23.1,Regular Academic Session
CULTURE & SOCIETY,10,4.0,0,Non Standard Session
SOCIAL & CULTURAL ANTHROPOLOGY,214,3.1057850467289714,14.7,Regular Academic Session
CHANTING DOWN BABYLON,15,2.34,0,Eight Week - Second
INTOXICATING CULTURES: ALCOHOL,26,3.212,7.4,Regular Academic Session
"CULTURE, HEALTH AND ILLNESS",285,3.0948807017543856,2.9,Regular Academic Session
CULTURE AREAS & ETHNIC GROUPS,18,2.716666666666667,40,Regular Academic Session
ETHNOGRAPHIC METHODS,39,3.648717948717949,28.6,Regular Academic Session
ANTH OF CONTEMPORARY JAPAN,21,2.543,36.4,Eight Week - Second
"PERF, CULTURE, PWR IN MID EAST",46,3.3870000000000005,40,Regular Academic Session
FOOD AND CULTURE,22,3.2544090909090913,15.4,Regular Academic Session
FOOD COMMUNICATION,7,2.586,0,Regular Academic Session
PEOPLE AND PROTECTED AREAS,33,3.9424242424242424,28.6,Regular Academic Session
SEMINAR CULTURAL & SOCIAL ANTH,17,3.900235294117647,12.5,Regular Academic Session
LANGUAGE AND CULTURE,175,3.069457142857143,36.7,Regular Academic Session
SEMINAR IN ETHNOGRAPHY OF COMM,11,4.0,58.3,Regular Academic Session
INTRODUCTION TO ARCHAEOLOGY,166,3.076578313253012,30.2,Regular Academic Session
SEX IN THE ANCIENT CITY,57,2.9329473684210527,17.1,Regular Academic Session
INTRODUCTORY WORLD ARCHAEOLOGY,52,2.933,0,Regular Academic Session
NORTH AMERICAN ARCHAEOLOGY,17,3.2,57.1,Regular Academic Session
PROBLEMS IN ZOOARCHAEOLOGY,6,4.0,66.7,Regular Academic Session
MUSEUM PRACTICUM,7,3.957,71.4,Regular Academic Session
ANCIENT AND MEDIEVAL ART,198,2.7242525252525254,2.8,Regular Academic Session
RENAISSANCE THROUGH MODERN ART,399,3.289218045112782,4.1,Regular Academic Session
INTRODUCTION TO AFRICAN ART,113,3.4959557522123896,5,Regular Academic Session
INTRODUCTION TO EAST ASIAN ART,155,3.217709677419355,6.3,Regular Academic Session
TOPICS IN ART HISTORY,148,3.155635135135135,20.6,Regular Academic Session
MACHINE AGE MODERN,75,3.1736000000000004,0,Regular Academic Session
CLASSICAL ART & ARCHEOLOGY,174,3.3408678160919543,1.6,Regular Academic Session
INTRO TO CONTEMPORARY ART,194,3.1316649484536088,2.5,Regular Academic Session
AGE OF GIANTS:LEONARDO/MICHELA,65,3.44,7,Regular Academic Session
INTRO ISLAMIC VISUAL CULTURE,78,3.073,2.5,Regular Academic Session
THE ART OF THE COMIC BOOK,77,3.387,0,Regular Academic Session
FROM VAN EYCK TO VERMEER,17,2.806,25,Regular Academic Session
TOPICS IN MODERN ART,109,3.5872568807339444,10,Regular Academic Session
19TH CENTURY EUROPEAN ART,65,3.2103846153846156,17.5,Regular Academic Session
AMERICAN ART TO 1913,52,3.3188269230769234,11.4,Regular Academic Session
PICASSO,80,3.2615000000000003,9.8,Regular Academic Session
CHINESE CALLIGRAPHY,38,3.016,7.7,Regular Academic Session
SENIOR SEMINAR,12,3.8334999999999995,33.3,Regular Academic Session
ART HISTORIAN AS DETECTIVE,42,3.2955714285714284,14.3,Regular Academic Session
AMERICAN ART TO 1865,48,3.3376875,17.1,Regular Academic Session
PRINT & MODERN MEDIUM,16,2.756,5.6,Regular Academic Session
SPANISH ART OF THE GOLDEN AGE,19,3.384,30,Regular Academic Session
HISTORIOGRAPHY OF WESTERN ART,16,3.938,81.3,Regular Academic Session
MUSEUM STUDIES,14,3.8215000000000003,12.5,Regular Academic Session
PROBLEMS IN EARLY GOTHIC ART,7,4.0,42.9,Regular Academic Session
THE SOLAR SYSTEM,687,3.3731164483260554,0,Regular Academic Session
SEARCH FOR LIFE THE UNIVERSE,618,3.4646132686084146,0,Regular Academic Session
STARS AND GALAXIES,989,3.289863498483317,0,Regular Academic Session
BIRTH & DEATH OF THE UNIVERSE,351,3.254358974358975,0,Regular Academic Session
GENERAL ASTRONOMY I,87,3.004977011494253,37.3,Regular Academic Session
COMPUTATIONAL ASTROPHYSICS,19,3.632,94.7,Regular Academic Session
STRUCT & EVOLUTION OF GALAXIES,8,3.375,100,Regular Academic Session
DUPLICATING/EXPRESSING GENOME,18,3.9832777777777775,9.1,Regular Academic Session
THE BIOLOGY OF COFFEE,21,3.938,4.8,Regular Academic Session
PLANT & HUMAN AFFRS GENOME ERA,24,3.796,95.8,Regular Academic Session
HONORS INTRODUCTORY BIOLOGY,10,3.76,50,Regular Academic Session
INTRODUCTORY BIOLOGY LECTURES,789,3.068,0,Eight Week - Second
"FNDTNS OF BIOL:DIVRS,EVOL,ECOL",1152,2.7714331597222226,47.6,Regular Academic Session
FNDTNS OF BIOL:BIOL MECHANISMS,1756,3.276777904328018,16,Regular Academic Session
BIOLOGY LABORATORY,1395,3.6955562724014333,37.5,Regular Academic Session
MOLECULAR BIOLOGY,1174,3.3228304940374787,28.8,Regular Academic Session
BIODIVERSITY,42,3.4902857142857138,43.5,Regular Academic Session
GENETICS,552,2.9222952898550725,75.6,Regular Academic Session
CELL BIOLOGY,193,3.3343937823834198,57.1,Regular Academic Session
CELL BIOLOGY LABORATORY,144,3.717444444444444,81.3,Regular Academic Session
EVOLUTION,379,3.2112585751978893,100,Regular Academic Session
GENETICS LABORATORY,129,3.4317596899224805,56.4,Regular Academic Session
WRITING WORKSHOP IN BIOLOGY,35,3.813942857142857,61.1,Regular Academic Session
MOLECULAR BIOLOGY LABORATORY,84,3.6882142857142863,76.9,Regular Academic Session
BIODIVERSE-CITY,68,3.7310000000000003,44.1,Regular Academic Session
INTRODUCTION TO HUMAN GENETICS,31,3.9255483870967742,92.3,Regular Academic Session
ENVIRONMENTAL BIOLOGY,54,3.581537037037037,9.4,Regular Academic Session
TOPICAL ISSUES IN BIOLOGY,52,3.7191538461538465,90,Regular Academic Session
FIELD & LABORATORY ECOLOGY,41,3.521975609756098,72.7,Regular Academic Session
"GENETICS, BIOLOGICAL RESEARCH",15,3.1798,50,Regular Academic Session
INDEPENDENT STUDY,73,3.968369863013699,100,Regular Academic Session
SYSTEMATICS,8,4.0,62.5,Eight Week - First
CRIT ANALYS OF SCIENTIFIC LIT,30,4.0,100,Regular Academic Session
SEM IN ECOLOGY & ENVIRON BIOL,29,4.0,100,Regular Academic Session
MOLECULAR GENETICS,12,2.975,0,Regular Academic Session
MICROBIOLOGY,395,2.8571088607594937,100,Regular Academic Session
MICROBIOLOGY LABORATORY,433,3.5937020785219396,65.2,Regular Academic Session
MOLECULAR MICROBIOLOGY LAB,10,3.8,90.9,Regular Academic Session
MICROBIOLOGY OF INFECT DISEASE,147,3.2915714285714284,76,Regular Academic Session
MEDICAL MICROBIOLOGY LECTURES,48,3.389583333333333,89.3,Regular Academic Session
MED MICROBIOLOGY LABORATORY,36,3.9750277777777776,100,Regular Academic Session
MICROBIAL & MOLECULAR GENETICS,15,3.1334000000000004,100,Regular Academic Session
INTEGRATIVE HUMAN PHYSIOLOGY,123,3.2116260162601624,57.4,Regular Academic Session
BIOL SCI FOR ELEM TEACHERS,85,3.013035294117647,0,Regular Academic Session
"GENETICS, HONORS",39,3.5947692307692307,78.3,Regular Academic Session
"EVOLUTION, HONORS",29,3.861862068965517,95.5,Regular Academic Session
ASURE BIOL RES 1,86,3.462872093023256,46.2,Regular Academic Session
INDIVIDUAL STUDY,99,3.98379797979798,80.6,Regular Academic Session
INVERTEBRATE ZOOLOGY,22,2.436,30.8,Regular Academic Session
INVERTEBRATE ZOOLOGY LAB,35,3.0399142857142856,78.9,Regular Academic Session
ANIMAL BEHAVIOR,159,3.398088050314465,22.6,Regular Academic Session
GENETICS OF BEHAVIOR,34,3.3503235294117646,68.8,Regular Academic Session
SPECIAL TOPICS IN ZOOLOGY,117,3.9538974358974355,100,Eight Week - First
INTRODUCTION TO BIOTECHNOLOGY,118,3.6475000000000004,58.1,Regular Academic Session
SEMINAR IN BIOTECHNOLOGY,56,3.8572857142857138,92,Regular Academic Session
BIOTECHNOLOGY LECTURE,69,3.529072463768116,88.6,Regular Academic Session
BIOTECHNOLOGY LABORATORY,45,3.666644444444444,100,Regular Academic Session
BIOTECHNOLOGY WRITING & COMM,58,3.498620689655173,84,Regular Academic Session
LAB IN MACROMOLECULES,11,3.636,63.6,Regular Academic Session
PROJECT LAB IN BIOTECHNOLOGY,32,3.9469374999999998,100,Regular Academic Session
BIOCHEMISTRY INSTRUMENTATION,18,3.9280000000000004,100,Eight Week - First
MAMMALIAN TISSUE CULTURE,18,3.7776666666666667,100,Eight Week - Second
CONTEMP TOPICS IN RES ETHICS,23,3.973956521739131,100,Regular Academic Session
ASURE BIOTECH RESEARCH LAB 1,34,3.594058823529412,50,Regular Academic Session
INDEPENDT RESEARCH: BIOTECH,14,4.0,100,Regular Academic Session
EXP CRSE FOR MBA GLB EXEC TRCK,878,3.793891799544419,100,Non Standard Session
INFORMATION TECHNOLOGY,312,3.9327019230769236,0,Regular Academic Session
ECONOMICS FOR MANAGERS,587,3.6935366269165244,100,Regular Academic Session
FINANCIAL MANAGEMENT,1109,2.847761947700631,94.4,Regular Academic Session
STRATEGIC MGMT & BUSINESS PLAN,100,3.7978000000000005,0,Regular Academic Session
DEVELPG STRATEGIC CAPABILITIES,114,3.914140350877193,0,Regular Academic Session
STRATEGIC MARKETING MANAGEMENT,328,3.8922957317073172,0,Regular Academic Session
WORKING CAPITAL MANAGEMENT,420,3.1226428571428575,100,Regular Academic Session
MACROECON STRATEG GLOBAL BUS,17,3.641,0,Regular Academic Session
GAME THEORY & DECISION MAKING,120,3.583183333333333,0,Regular Academic Session
CONSULTING PROCESS AND MGMT,221,3.828678733031674,100,Regular Academic Session
STRATEGIC MANAGEMENT,2574,3.5499506604506608,100,Regular Academic Session
DIGITAL ENTERPRISE BUS TECH,59,3.9455932203389827,0,Regular Academic Session
QUANTITATIVE ANALYSIS,684,3.4830643274853803,86.4,Regular Academic Session
"PREDICT ANALYTICS, DATA MINING",23,3.943,0,Regular Academic Session
ENTERPRISE DATA MANAGEMENT,258,3.6609651162790695,83.3,Kelley First Seven Week
SIM & OPT FOR BUS ANALYTICS,161,3.9701677018633545,100,Regular Academic Session
DECISION MAKING AND LEADERSHIP,207,3.699826086956522,100,Regular Academic Session
WHITE COLLAR CRIME&CORP ETHICS,72,3.8817083333333335,100,Regular Academic Session
CYBERSECURITY LAW & POLICY,105,3.924819047619047,0,Non Standard Session
BUSINESS LAW AND ETHICS,525,3.8339123809523805,100,Regular Academic Session
MKTG BUS MODELS DIGITAL TECH,25,4.0,100,Regular Academic Session
BUSINESS MARKETING STRATEGY,44,3.848,100,Regular Academic Session
INTEGRATED MARKETING STRATEGY,240,3.584520833333333,100,Regular Academic Session
PROJECT MANAGEMENT,208,3.746788461538461,100,Regular Academic Session
SUPPLY CHAIN ANALYTICS,108,3.7214259259259257,100,Regular Academic Session
OPERATIONS MANAGEMENT,506,3.4848478260869564,100,Regular Academic Session
IT ARCHITECTURE,39,3.5078461538461543,100,Regular Academic Session
DIGITAL TECH & INNOVATION,470,3.873497872340425,100,Regular Academic Session
ORG BEHAVIOR & DECISION MAKING,103,3.9100970873786407,0,Regular Academic Session
STRATEGIC MGMT & LEADERSHIP,614,3.423980456026059,0,Regular Academic Session
SILICON VALLEY VENTURE CHALLEN,20,3.09485,100,Regular Academic Session
EXP COURSE FOR MBA PROGRAM,575,3.8347686956521736,100,Regular Academic Session
TOPICS IN DIR BUS INTERACTION,501,3.9814630738522956,100,Non Standard Session
TOPICS IN BUSINESS ANALYSIS,504,3.9865476190476192,100,Regular Academic Session
TOPICS IN BUSINESS CAPSTONE,134,3.9798358208955222,0,Regular Academic Session
INTEGRATED CAPSTONE COURSE,469,3.8948166311300643,100,Regular Academic Session
MANAGING CHANGE IN ORGS,36,3.822,100,Regular Academic Session
"LEADERSHIP, TEAMS, INCLUSION",69,3.8278840579710147,100,Regular Academic Session
LEADING ORGANIZATION,525,3.879158095238095,100,Regular Academic Session
"POWER, PERS INFL & NEGOTIATION",55,3.852727272727272,100,Regular Academic Session
ENTERPRISE PLATFORMS,30,3.9666,100,Regular Academic Session
INTRO TO ACCOUNTING PRINCIPLES,2239,3.154426529700759,95.5,Eight Week - Second
ACCOUNTING NON-BUSINESS MAJORS,649,2.995164869029276,0,Regular Academic Session
FINANCIAL REPORTING & ANALYSIS,4162,3.1446489668428645,94.4,Regular Academic Session
MANAGEMENT ACCTING & ANALYSIS,3925,3.1836168152866247,97.7,Regular Academic Session
FINANCIAL REPORTING: HONORS,149,3.6328389261744967,100,Regular Academic Session
INTERM FINANCIAL REPORT: USERS,467,3.377117773019272,100,Regular Academic Session
INTERM FIN'L REPRTNG &ANALYS I,239,3.382464435146444,100,Regular Academic Session
INTER FIN'L REPRTNG&ANALYS II,311,3.3841479099678455,96.3,Regular Academic Session
INTRO TO CAREERS IN ACCOUNTING,313,3.9240734824281147,100,Regular Academic Session
COMMUNIC ACCOUNTING ANALYTICS,693,3.616574314574313,100,Eight Week - Second
ASSURANCE & RISK ADVSRY WKSHP,59,4.0,100,Regular Academic Session
TAX ADVISORY SERVICES WORKSHOP,55,3.801818181818182,100,Regular Academic Session
CORP ACCTNG & ADVISORY WRKSHOP,25,4.0,100,Regular Academic Session
COST MANAGEMENT,1607,3.2987741132545114,100,Eight Week - Second
COST & PERFORMANCE MEASUREMENT,236,3.3567923728813565,100,Regular Academic Session
TAX ANALYSIS AND APPLICATIONS,579,3.5672694300518137,100,Eight Week - Second
TAXES AND DECISION MAKING,821,3.265649208282582,100,Regular Academic Session
TAXES AND FINANCIAL PLANNING,38,3.3708421052631574,100,Eight Week - First
ACCOUNTING INFORMATION SYSTEMS,520,3.504342307692307,100,Regular Academic Session
TOPICS IN ACCOUNTING,89,3.727943820224719,91.7,Regular Academic Session
ACCOUNTING: MERGER/ACQUISITION,53,3.483,100,Regular Academic Session
FOUNDATIONS OF AUDITING,93,3.322591397849462,100,Regular Academic Session
ADVANCED MANAGEMENT ACCOUNTING,184,3.480961956521739,100,Regular Academic Session
FINANCIAL REPORTG & ANALYSIS I,62,3.5036451612903226,100,Kelley First Seven Week
FINANCIAL REPORT & ANALYSIS II,60,3.5601,100,Kelley Second Seven Week
CAREER SUCCESS SKILLS,194,3.7607474226804127,100,Non Standard Session
AUDITING THEORY AND PRACTICE,113,3.5316194690265483,100,Regular Academic Session
TAXES AND FINANCIAL STATEMENTS,120,3.600916666666667,100,Kelley Second Seven Week
TAX OF PARTNERSHIPS & S CORPS,33,3.6057272727272727,100,Kelley First Seven Week
CORPORATE TAXATION I,124,3.482274193548387,100,Kelley First Seven Week
FINANCIAL ACCOUNTING CONCEPTS,113,3.7528141592920354,100,Regular Academic Session
STRATEGIC TAX PLANNING,132,3.8120984848484847,100,Kelley Second Seven Week
DETECTING EARNINGS MANAGEMENT,98,3.579704081632652,100,Non Standard Session
IT AUDITING & INTERNAL CONTRLS,57,3.575631578947368,100,Non Standard Session
APPL LDRSHIP PWR PERS & PRO PR,101,3.8773069306930688,100,Non Standard Session
FIELD CONSULTING,186,3.6762473118279564,100,Non Standard Session
STRATEGIC COST MANAGEMENT,114,3.532394736842105,100,Kelley First Seven Week
FINANCIAL ACCOUNTING THEORY,134,3.9760895522388062,100,Kelley First Seven Week
EXPERIMENTAL RESEARCH IN ACCTG,8,3.888,87.5,Regular Academic Session
BUSINESS PRESENTATIONS,5649,3.6759458311205524,45.8,Regular Academic Session
BUSINESS PRESENTATIONS-HONORS,728,3.88459478021978,100,Regular Academic Session
BUSINESS WRITING,3860,3.795048445595854,96,Regular Academic Session
BUSINESS WRITING: HONORS,591,3.934483925549915,100,Regular Academic Session
BUS & PROF COMMUNICATION,94,3.6999148936170214,0,Regular Academic Session
GLOBAL BUS ENVIRONMENTS,5186,3.144951600462785,95,Eight Week - Second
GLOBAL BUS ANLS-INTER BUS MGMT,2925,3.3705576068376066,92.6,Eight Week - Second
GLOBAL MANAGEMENT,337,3.730053412462908,100,Regular Academic Session
BUILD MNG CROSS CLTRL COMPET,235,3.486855319148936,100,Regular Academic Session
INTERNATIONAL COMP STRATEGY,305,3.403540983606557,100,Regular Academic Session
NAVIGATING GLOBAL BUS ENVIRON,96,3.8947499999999997,100,Regular Academic Session
OPERATIONS OF INTL BUSINESS,47,3.6066170212765956,100,Kelley Second Seven Week
INTRO TO FINANCIAL &RE CAREERS,1780,3.7012691011235956,58,Regular Academic Session
INVESTMENT BANKING & CAP MRKTS,597,3.652658291457287,97.6,Eight Week - Second
TOPICS IN FINANCE,867,3.5800322952710495,100,Eight Week - Second
PERSONAL FINANCE,1133,3.1492894969108556,100,Kelley First Seven Week
FINANCIAL MARKETS,152,3.0839868421052627,4.7,Regular Academic Session
INTRO FINANCIAL MANAGEMENT,646,3.096772445820434,0,Regular Academic Session
INTERMEDIATE INVESTMENTS,1909,3.0948297537977996,100,Regular Academic Session
HONORS FINANCIAL MANAGEMENT,597,3.59544891122278,100,Regular Academic Session
INTERMEDIATE CORPORATE FINANCE,1957,3.1401854879918245,100,Regular Academic Session
VENTURE CAPITAL & ENTREP FIN,1062,3.213145951035782,100,Regular Academic Session
SECRTY TRADING & MARKET MAKING,315,3.322396825396825,100,Regular Academic Session
PERSONAL FINANCIAL PLANNING,299,3.1240234113712377,100,Regular Academic Session
INS AND RETIREMENT PLANNING,388,3.1154639175257723,100,Regular Academic Session
I-CORE - FINANCE COMPONENT,4658,2.6620452984113356,100,Regular Academic Session
INVESTMENT BANKING WORKSHOP II,140,4.0,100,Eight Week - First
CORP FINANCL STRAT/GOVERNANCE,503,3.049809145129225,100,Regular Academic Session
CAPITAL MARKETS & BNKG WKSH II,58,3.9241206896551724,100,Eight Week - First
CORP FIN/FP&A WRKSHP CAPSTONE,12,4.0,100,Regular Academic Session
BEHAVIORAL FINANCE,441,3.321358276643991,100,Regular Academic Session
EQUITY & FIXED INCOME INVSTMNT,625,3.218024,100,Regular Academic Session
DERIV SECURITS/CORP RISK MGMT,196,3.302688775510204,100,Regular Academic Session
BANK & FINANCL INTERMEDIATION,291,3.260250859106529,100,Regular Academic Session
SHORT-TERM FINANCIAL MGMT,93,3.831010752688172,100,Kelley First Seven Week
VALUATION OF REAL OPTIONS,69,3.68263768115942,97.4,Kelley Second Seven Week
VENTURE CAPITAL & ENTREPRN FIN,171,3.6999473684210527,100,Kelley Second Seven Week
ASSET VALUATION & STRATEGY,212,3.550735849056604,100,Kelley First Seven Week
CORPORATE FINANCIAL RISK MGMT,126,3.829349206349206,100,Kelley Second Seven Week
THE FIRM IN THE CAPITAL MARKET,259,3.53907722007722,100,Kelley First Seven Week
SPREADSHEET MODELS IN FINANCE,151,3.561622516556292,100,Kelley First Seven Week
APPLIED PORTFOLIO SELECTION,37,3.55654054054054,100,Kelley Second Seven Week
EXPERIMENTAL COURSE IN FINANCE,201,3.785144278606966,100,Kelley Second Seven Week
"BUSINESS, GOVERNMENT, AND SOC",4338,3.109833102812356,95.6,Regular Academic Session
INTRO TO MGRL ECON AND STRAT,395,3.4763974683544308,1.7,Regular Academic Session
GAME THEORY FOR BUS STRATEGY,188,3.295845744680851,100,Regular Academic Session
MANAGERIAL ECONOMICS,302,3.3509437086092713,100,Eight Week - First
SUSTAINABLE ENTERPRISE,106,3.449735849056604,74.2,Regular Academic Session
"MONEY, BANKING & CAPTL MARKETS",553,3.1898083182640153,100,Regular Academic Session
BUSINESS ECONOMETRICS,1071,3.2676143790849665,100,Regular Academic Session
CAPSTONE IN ECON CONSULTING,124,3.742,100,Regular Academic Session
TOPICS BUS ECON & PUBLC POLICY,15,3.913,93.8,Regular Academic Session
NON-MARKET RISK CONSULTING,217,3.471723502304147,100,Regular Academic Session
PREDICTIVE ANALYTICS BUS STRAT,696,3.60542959770115,100,Regular Academic Session
THK STRAT: GAME THRY/BUS STRAT,163,3.474435582822086,100,Eight Week - Second
ECONOMETRIC METHODS IN BUS I,28,3.821,100,Regular Academic Session
GAME THEORY,155,3.3690064516129032,66.7,Regular Academic Session
INFORMATION ECONOMICS,8,3.575,100,Kelley Second Seven Week
HONORS I-CORE DISCUSSION,596,3.9766375838926176,100,Regular Academic Session
HONORS STRATEGIC MANAGEMENT,595,3.777715966386554,100,Regular Academic Session
ADV CASE ANLS&EFF CONSULT PRES,59,3.879677966101695,100,Eight Week - First
DEVELOP AND IMPLEMENT STRATEGY,107,3.7055233644859813,100,Kelley Second Seven Week
STRATEGIC PLNG & MGMT PROCESS,113,3.754867256637168,100,Regular Academic Session
SEMINAR IN STRATEGIC MGMT,9,3.822,77.8,Regular Academic Session
THE COMPUTER IN BUSINESS,6743,3.0770533886993925,42.5,Regular Academic Session
THE COMPUTER IN BUS: HONORS,859,3.7897206053550634,96.2,Regular Academic Session
TECHNOLOGY & BUS ANALYSIS,4511,3.766113278652184,97.8,Regular Academic Session
TECHNOLOGY & BUS ANALYSIS HON,410,3.914678048780488,100,Regular Academic Session
